SequenceID	ClusterID
seq_13245	894
seq_13246	758
seq_13247	895
seq_13248	896
seq_13249	897
seq_13250	898
seq_13251	899
seq_13252	900
seq_13253	901
seq_13254	902
seq_13255	761
seq_13256	810
seq_13258	699
seq_13259	903
seq_13260	903
seq_13261	904
seq_13262	905
seq_13263	889
seq_13264	906
seq_13265	745
seq_13266	907
seq_13267	908
seq_13268	909
seq_13269	910
seq_13270	911
seq_13271	912
seq_13272	791
seq_13273	913
seq_13274	914
seq_13275	728
seq_13276	915
seq_13277	685
seq_13278	0
seq_13279	916
seq_13280	917
seq_13281	667
seq_13282	918
seq_13283	919
seq_13284	841
seq_13285	920
seq_13286	921
seq_13287	922
seq_13288	923
seq_13289	745
seq_13290	924
seq_13291	925
seq_13292	926
seq_13293	927
seq_13294	748
seq_13295	928
seq_13296	847
seq_13297	886
seq_13298	929
seq_13299	930
seq_1330	207
seq_13300	931
seq_13301	932
seq_13302	933
seq_13303	884
seq_13304	934
seq_13305	935
seq_13306	936
seq_13307	892
seq_13308	937
seq_13309	728
seq_13310	916
seq_13311	503
seq_13312	926
seq_13313	938
seq_13314	939
seq_13315	940
seq_13316	941
seq_13317	942
seq_13318	943
seq_13320	944
seq_13321	820
seq_13322	945
seq_13323	946
seq_13324	679
seq_13325	696
seq_13326	947
seq_13327	948
seq_13328	949
seq_13329	809
seq_13330	950
seq_13331	951
seq_13332	748
seq_13333	952
seq_13334	953
seq_13335	954
seq_13336	955
seq_13337	956
seq_13338	957
seq_13339	958
seq_13340	884
seq_13341	959
seq_13342	960
seq_13343	961
seq_13344	764
seq_13345	962
seq_13346	963
seq_13347	781
seq_13348	720
seq_13349	876
seq_13350	0
seq_13351	964
seq_13352	699
seq_13353	667
seq_13354	965
seq_13355	966
seq_13356	967
seq_13357	968
seq_13358	969
seq_13359	970
seq_13360	792
seq_13361	971
seq_13362	972
seq_13363	0
seq_13364	798
seq_13365	196
seq_13366	973
seq_13367	974
seq_13368	799
seq_13369	687
seq_1337	150
seq_13370	975
seq_13371	196
seq_13372	976
seq_13373	977
seq_13374	978
seq_13375	979
seq_13376	980
seq_13377	981
seq_13378	982
seq_13379	983
seq_13380	984
seq_13381	940
seq_13382	683
seq_13383	747
seq_13384	985
seq_13385	986
seq_13386	949
seq_13387	963
seq_13388	987
seq_13389	988
seq_1339	208
seq_13390	670
seq_13391	989
seq_13392	990
seq_13393	991
seq_13394	992
