SequenceID	ClusterID
seq_10325	4900
seq_10326	3559
seq_10327	1168
seq_10328	4901
seq_10329	4902
seq_1033	724
seq_10330	187
seq_10331	2732
seq_10332	2938
seq_10333	3104
seq_10334	2898
seq_10335	3561
seq_10336	3562
seq_10337	4085
seq_10338	4559
seq_10339	4771
seq_1034	787
seq_10340	1071
seq_10341	4068
seq_10342	660
seq_10343	4903
seq_10344	4904
seq_10345	367
seq_10346	4069
seq_10347	970
seq_10348	2305
seq_10349	4785
seq_1035	788
seq_10350	2307
seq_10351	4905
seq_10352	2778
seq_10353	157
seq_10354	7
seq_10355	245
seq_10356	1136
seq_10357	4294
seq_10358	4906
seq_10359	2128
seq_1036	789
seq_10360	1190
seq_10361	990
seq_10362	4196
seq_10363	4907
seq_10364	901
seq_10365	4742
seq_10366	4307
seq_10367	4908
seq_10368	1749
seq_10369	3750
seq_1037	790
seq_10370	4073
seq_10371	4909
seq_10372	4327
seq_10373	4910
seq_10374	4911
seq_10375	4912
seq_10376	3751
seq_10377	4913
seq_10378	999
seq_10379	47
seq_1038	791
seq_10380	47
seq_10381	47
seq_10382	4914
seq_10383	4915
seq_10384	4916
seq_10385	335
seq_10386	58
seq_10387	2793
seq_10388	336
seq_10389	1198
seq_1039	792
seq_10390	2131
seq_10391	4917
seq_10392	4918
seq_10393	2800
seq_10394	2132
seq_10395	389
seq_10396	1204
seq_10397	4919
seq_10398	715
seq_10399	4564
seq_104	68
seq_1040	793
seq_10400	1264
seq_10401	1281
seq_10402	4821
seq_10403	682
seq_10404	4920
seq_10405	2437
seq_10406	4824
seq_10407	4921
seq_10408	4922
seq_10409	2947
seq_1041	794
seq_10410	4923
seq_10411	2134
seq_10412	4924
seq_10413	1211
seq_10414	4925
seq_10415	1049
seq_10416	2135
seq_10417	2820
seq_10418	4926
seq_10419	4927
seq_1042	774
seq_10420	4928
seq_10421	4089
seq_10422	1214
seq_10423	501
seq_10424	4929
seq_10425	337
seq_10426	4930
seq_10427	4931
seq_10428	4524
seq_10429	2522
seq_1043	795
seq_10430	3574
seq_10431	3876
seq_10432	4932
seq_10433	1222
seq_10434	4933
seq_10435	4079
seq_10436	4934
seq_10437	3879
seq_10438	4852
seq_10439	4935
seq_1044	796
seq_10440	1222
seq_10441	4936
seq_10442	107
seq_10443	2851
seq_10444	4937
seq_10445	4938
seq_10446	427
seq_10447	1759
seq_10448	4939
seq_10449	482
seq_1045	797
seq_10450	4940
seq_10451	1075
seq_10452	905
seq_10453	2587
seq_10454	602
seq_10455	1231
seq_10456	2601
seq_10457	4569
seq_10458	4941
seq_10459	4295
seq_1046	798
seq_10460	4640
seq_10461	720
seq_10462	4942
seq_10463	4648
seq_10464	2867
seq_10465	4873
seq_10466	2868
seq_10467	1283
seq_10468	1236
seq_10469	860
seq_1047	799
seq_10470	1237
seq_10471	108
seq_10472	4943
seq_10473	2440
seq_10474	4944
seq_10475	4945
seq_10476	4946
seq_10477	55
seq_10478	2878
seq_10479	4882
seq_1048	800
seq_10480	4570
seq_10481	2539
seq_10482	1247
seq_10483	4884
seq_10484	4083
seq_10485	4886
seq_10486	2540
seq_10487	2667
seq_10488	3578
seq_10489	2885
seq_1049	781
seq_10490	4893
seq_10491	3109
seq_10492	4947
seq_10493	4571
seq_10494	2945
seq_10495	4948
seq_10496	1251
seq_10497	2712
seq_10498	57
seq_10499	4899
seq_105	30
seq_1050	801
seq_10500	4949
seq_10501	1762
seq_10502	4950
seq_10503	76
seq_10504	418
seq_10505	4757
seq_10506	4647
seq_10507	1256
seq_10508	2900
seq_10509	4298
seq_1051	802
seq_10510	2775
seq_10511	4951
seq_10512	4952
seq_10513	2331
seq_10514	4912
seq_10515	1261
seq_10516	4953
seq_10517	2140
seq_10518	1263
seq_10519	2140
seq_1052	803
seq_10520	2131
seq_10521	4914
seq_10522	4918
seq_10523	4954
seq_10524	2538
seq_10525	4955
seq_10526	4956
seq_10527	2947
seq_10528	4831
seq_10529	1269
seq_1053	804
